,Acquired Samples,Real (mÎ©),Imaginary,Frequency (Hz)
0,1 / 100,30.968,10.569,100.0
1,2 / 100,30.935,10.424,102.0
2,3 / 100,30.671,10.411,105.0
3,4 / 100,30.498,10.354,107.0
4,5 / 100,30.303,10.303,110.0
5,6 / 100,30.168,10.229,112.0
6,7 / 100,30.017,10.245,115.0
7,8 / 100,29.816,10.051,118.0
8,9 / 100,29.668,9.99,120.0
9,10 / 100,29.543,9.967,123.0
10,11 / 100,29.354,9.967,126.0
11,12 / 100,29.193,9.884,129.0
12,13 / 100,29.056,9.832,132.0
13,14 / 100,28.919,9.762,135.0
14,15 / 100,28.758,9.712,138.0
15,16 / 100,28.539,9.641,142.0
16,17 / 100,28.429,9.528,145.0
17,18 / 100,28.285,9.475,148.0
18,19 / 100,28.09,9.458,152.0
19,20 / 100,27.956,9.392,156.0
20,21 / 100,27.804,9.298,159.0
21,22 / 100,27.661,9.255,163.0
22,23 / 100,27.52,9.162,167.0
23,24 / 100,27.359,9.128,171.0
24,25 / 100,27.234,9.051,175.0
25,26 / 100,27.085,8.962,179.0
26,27 / 100,26.937,8.896,183.0
27,28 / 100,26.782,8.854,187.0
28,29 / 100,26.643,8.813,192.0
29,30 / 100,26.566,8.716,196.0
30,31 / 100,26.432,8.664,201.0
31,32 / 100,26.215,8.505,206.0
32,33 / 100,26.087,8.459,210.0
33,34 / 100,26.02,8.434,215.0
34,35 / 100,25.788,8.358,221.0
35,36 / 100,25.698,8.24,226.0
36,37 / 100,25.623,8.207,231.0
37,38 / 100,25.464,8.141,236.0
38,39 / 100,25.367,7.983,242.0
39,40 / 100,25.27,8.004,248.0
40,41 / 100,25.072,7.894,254.0
41,42 / 100,24.978,7.809,260.0
42,43 / 100,24.837,7.685,266.0
43,44 / 100,24.77,7.699,272.0
44,45 / 100,24.606,7.65,278.0
45,46 / 100,24.439,7.509,285.0
46,47 / 100,24.39,7.437,292.0
47,48 / 100,24.293,7.347,298.0
48,49 / 100,24.209,7.28,305.0
49,50 / 100,24.081,7.2,313.0
50,51 / 100,23.935,7.142,320.0
51,52 / 100,23.876,7.03,327.0
52,53 / 100,23.776,6.921,335.0
53,54 / 100,23.57,6.96,343.0
54,55 / 100,23.494,6.839,351.0
55,56 / 100,23.404,6.731,359.0
56,57 / 100,23.343,6.663,368.0
57,58 / 100,23.252,6.573,376.0
58,59 / 100,23.111,6.536,385.0
59,60 / 100,23.007,6.389,394.0
60,62 / 100,22.82,6.321,413.0
61,63 / 100,22.76,6.193,423.0
62,65 / 100,22.514,6.068,443.0
63,66 / 100,22.401,5.956,453.0
64,69 / 100,22.189,5.726,486.0
65,70 / 100,22.167,5.688,498.0
66,72 / 100,21.906,5.518,521.0
67,73 / 100,21.855,5.436,534.0
68,75 / 100,21.758,5.309,559.0
69,76 / 100,21.637,5.258,572.0
70,77 / 100,21.569,5.118,586.0
71,79 / 100,21.338,4.975,614.0
72,80 / 100,21.311,4.917,628.0
73,82 / 100,21.198,4.767,658.0
74,83 / 100,21.102,4.717,673.0
75,85 / 100,20.94,4.565,705.0
76,86 / 100,20.932,4.432,722.0
77,87 / 100,20.846,4.437,739.0
78,89 / 100,20.729,4.322,774.0
79,92 / 100,20.541,4.079,830.0
80,94 / 100,20.408,3.877,870.0
81,96 / 100,20.328,3.705,911.0
82,100 / 100,20.077,3.406,1000.0
